audit_kind,item_id,canonical_id,canonical_type,canonical_name,alias,normalized_alias,observed_types,mention_count,mention_ids,is_valid,type_correct,evidence_support,direction_correct,notes
alias,ent_000461::bộ tộc Tuxi,ent_000461,Concept,bộ tộc Tuxi,bộ tộc Tuxi,bộ tộc tuxi,"[""Concept""]",1,"[""lichsu_12_s57_bai5_sec6_001:e7""]",,,,,
alias,ent_000459::Bổ sung Hiến pháp theo hướng tiến bô,ent_000459,Concept,Bổ sung Hiến pháp theo hướng tiến bô,Bổ sung Hiến pháp theo hướng tiến bô,bổ sung hiến pháp theo hướng tiến bô,"[""Concept""]",1,"[""lichsu_12_s65_bai6_sec3_001:e11""]",,,,,
alias,"ent_000642::chiến dịch ""tràn ngập lãnh thổ""",ent_000642,Concept,"chiến dịch ""tràn ngập lãnh thổ""","chiến dịch ""tràn ngập lãnh thổ""",chiến dịch tràn ngập lãnh thổ,"[""Concept""]",1,"[""lichsu_12_s281_bai23_sec8_001:e5""]",,,,,
alias,ent_000953::cuộc đấu tranh chống phong kiến,ent_000953,Concept,cuộc đấu tranh chống phong kiến,cuộc đấu tranh chống phong kiến,cuộc đấu tranh chống phong kiến,"[""Concept""]",1,"[""lichsu_10_s178_001:e6""]",,,,,
alias,ent_001164::Đạo luật Phục hưng công nghiệp,ent_001164,Concept,Đạo luật Phục hưng công nghiệp,Đạo luật Phục hưng công nghiệp,đạo luật phục hưng công nghiệp,"[""Concept""]",2,"[""lichsu_11_s58_bai13_sec4_001:e10"", ""lichsu_11_s58_bai13_sec4_002:e1""]",,,,,
alias,ent_002213::Nền độc lập của Tổ quốc,ent_002213,Concept,Nền độc lập của Tổ quốc,Nền độc lập của Tổ quốc,nền độc lập của tổ quốc,"[""Concept""]",1,"[""lichsu_10_s160_002:e5""]",,,,,
alias,ent_002669::Phong trào độc lập dân tộc,ent_002669,Concept,Phong trào độc lập dân tộc,Phong trào độc lập dân tộc,phong trào độc lập dân tộc,"[""Concept""]",2,"[""lichsu_11_s68_bai15_sec3_001:e3"", ""lichsu_11_s72_bai16_sec3_001:e10""]",,,,,
alias,ent_000445::binh sĩ người Việt,ent_000445,Concept,binh sĩ người Việt,binh sĩ người Việt,binh sĩ người việt,"[""Concept""]",1,"[""lichsu_11_s136_bai24_sec2_001:e10""]",,,,,
alias,ent_002539::Ổn định tình hình,ent_002539,Concept,Ổn định tình hình,Ổn định tình hình,ổn định tình hình,"[""Concept""]",1,"[""lichsu_12_s296_bai24_sec6_002:e5""]",,,,,
alias,ent_000895::công nghiệp,ent_000895,Concept,công nghiệp,công nghiệp,công nghiệp,"[""Concept""]",2,"[""lichsu_12_s142_bai14_sec4_001:e10"", ""lichsu_12_s242_bai21_sec8_002:e7""]",,,,,
alias,ent_003175::thời kì quá độ lên chủ nghĩa xã hội,ent_003175,Concept,thời kì quá độ lên chủ nghĩa xã hội,thời kì quá độ lên chủ nghĩa xã hội,thời kì quá độ lên chủ nghĩa xã hội,"[""Concept""]",2,"[""lichsu_12_s303_bai25_sec5_003:e7"", ""lichsu_12_s311_bai26_sec6_001:e10""]",,,,,
alias,ent_002839::sắc lệnh bãi bỏ chế độ nô lệ,ent_002839,Concept,sắc lệnh bãi bỏ chế độ nô lệ,sắc lệnh bãi bỏ chế độ nô lệ,sắc lệnh bãi bỏ chế độ nô lệ,"[""Concept""]",1,"[""lichsu_10_s192_bai33_sec5_003:e2""]",,,,,
alias,ent_003146::thiếu dân chủ và công bằng,ent_003146,Concept,thiếu dân chủ và công bằng,thiếu dân chủ và công bằng,thiếu dân chủ và công bằng,"[""Concept""]",1,"[""lichsu_12_s31_bai2_sec12_002:e8""]",,,,,
alias,ent_003543::xã hội tư bản,ent_003543,Concept,xã hội tư bản,xã hội tư bản,xã hội tư bản,"[""Concept""]",1,"[""lichsu_10_s208_002:e3""]",,,,,
alias,ent_001806::khủng hoảng trầm trọng của nền tài chính quốc gia,ent_001806,Concept,khủng hoảng trầm trọng của nền tài chính quốc gia,khủng hoảng trầm trọng của nền tài chính quốc gia,khủng hoảng trầm trọng của nền tài chính quốc gia,"[""Concept""]",1,"[""lichsu_10_s182_001:e8""]",,,,,
alias,ent_000983::cuộc khủng hoảng xã hội,ent_000983,Concept,cuộc khủng hoảng xã hội,cuộc khủng hoảng xã hội,cuộc khủng hoảng xã hội,"[""Concept""]",1,"[""lichsu_10_s158_003:e3""]",,,,,
alias,ent_001862::lãnh chúa phong kiến,ent_001862,Concept,lãnh chúa phong kiến,lãnh chúa phong kiến,lãnh chúa phong kiến,"[""Concept""]",1,"[""lichsu_10_s50_002:e2""]",,,,,
alias,ent_002644::phong trào công nhân thế giới,ent_002644,Concept,phong trào công nhân thế giới,phong trào công nhân thế giới,phong trào công nhân thế giới,"[""Concept""]",1,"[""lichsu_10_s221_bai39_sec2_001:e8""]",,,,,
alias,"ent_001338::dùng người Việt đánh người Việt, lấy chiến tranh nuôi chiến tranh",ent_001338,Concept,"dùng người Việt đánh người Việt, lấy chiến tranh nuôi chiến tranh","dùng người Việt đánh người Việt, lấy chiến tranh nuôi chiến tranh",dùng người việt đánh người việt lấy chiến tranh nuôi chiến tranh,"[""Concept""]",1,"[""lichsu_12_s205_bai18_sec11_002:e7""]",,,,,
alias,ent_003454::văn học và nghệ thuật Hinđu,ent_003454,Concept,văn học và nghệ thuật Hinđu,văn học và nghệ thuật Hinđu,văn học và nghệ thuật hinđu,"[""Concept""]",1,"[""lichsu_10_s33_001:e9""]",,,,,
alias,ent_000351::Ba chương trình kinh tế lớn,ent_000351,Concept,Ba chương trình kinh tế lớn,Ba chương trình kinh tế lớn,ba chương trình kinh tế lớn,"[""Concept""]",1,"[""lichsu_12_s311_bai26_sec6_001:e7""]",,,,,
alias,ent_003272::tôn giáo Phong trào đấu tranh của nông dân,ent_003272,Concept,tôn giáo Phong trào đấu tranh của nông dân,tôn giáo Phong trào đấu tranh của nông dân,tôn giáo phong trào đấu tranh của nông dân,"[""Concept""]",1,"[""lichsu_10_s54_bai11_sec3_001:e2""]",,,,,
alias,ent_003451::Văn học dân gian,ent_003451,Concept,Văn học dân gian,Văn học dân gian,văn học dân gian,"[""Concept""]",1,"[""lichsu_10_s140_bai24_sec6_002:e1""]",,,,,
alias,ent_000815::chủ nghĩa xã hội không tưởng,ent_000815,Concept,chủ nghĩa xã hội không tưởng,chủ nghĩa xã hội không tưởng,chủ nghĩa xã hội không tưởng,"[""Concept""]",3,"[""lichsu_10_s208_001:e1"", ""lichsu_10_s208_002:e1"", ""lichsu_10_s211_001:e1""]",,,,,
alias,ent_003132::thế lực phản cách mạng trong nước,ent_003132,Concept,thế lực phản cách mạng trong nước,thế lực phản cách mạng trong nước,thế lực phản cách mạng trong nước,"[""Concept""]",1,"[""lichsu_11_s29_bai7_sec6_001:e6""]",,,,,
alias,ent_003540::xã hội nguyên thuỷ,ent_003540,Concept,xã hội nguyên thuỷ,xã hội nguyên thuỷ,xã hội nguyên thuỷ,"[""Concept""]",2,"[""lichsu_10_s58_001:e1"", ""lichsu_10_s63_001:e8""]",,,,,
alias,ent_001536::hoàn thành thống nhất đất nước về mặt nhà nước,ent_001536,Concept,hoàn thành thống nhất đất nước về mặt nhà nước,hoàn thành thống nhất đất nước về mặt nhà nước,hoàn thành thống nhất đất nước về mặt nhà nước,"[""Concept""]",1,"[""lichsu_12_s293_bai24_sec3_001:e5""]",,,,,
alias,ent_003455::Văn học Việt Nam,ent_003455,Concept,Văn học Việt Nam,Văn học Việt Nam,văn học việt nam,"[""Concept""]",1,"[""lichsu_10_s140_bai24_sec6_002:e6""]",,,,,
alias,ent_000811::chủ nghĩa tư bản,ent_000811,Concept,chủ nghĩa tư bản,chủ nghĩa tư bản,chủ nghĩa tư bản,"[""Concept""]",24,"[""lichsu_10_s171_001:e11"", ""lichsu_10_s174_001:e2"", ""lichsu_10_s175_001:e3"", ""lichsu_10_s178_001:e5"", ""lichsu_10_s180_001:e4"", ""lichsu_10_s183_001:e10"", ""lichsu_10_s186_001:e4"", ""lichsu_10_s190_bai33_sec3_001:e12"", ""lichsu_10_s192_bai33_sec5_003:e11"", ""lichsu_10_s195_001:e1"", ""lichsu_10_s195_003:e12"", ""lichsu_10_s198_001:e5"", ""lichsu_10_s200_001:e10"", ""lichsu_10_s206_001:e8"", ""lichsu_10_s207_001:e1"", ""lichsu_10_s208_001:e3"", ""lichsu_10_s221_bai39_sec2_001:e10"", ""lichsu_10_s54_bai11_sec3_002:e12"", ""lichsu_10_s57_001:e2"", ""lichsu_10_s63_001:e3"", ""lichsu_11_s25_bai7_sec2_001:e7"", ""lichsu_11_s25_bai7_sec2_002:e2"", ""lichsu_11_s55_bai13_sec1_001:e10"", ""lichsu_11_s72_bai16_sec3_001:e5""]",,,,,
alias,ent_000926::Cung oán ngâm khúc,ent_000926,Concept,Cung oán ngâm khúc,Cung oán ngâm khúc,cung oán ngâm khúc,"[""Concept""]",2,"[""lichsu_10_s140_bai24_sec6_002:e4"", ""lichsu_10_s141_bai24_sec7_001:e3""]",,,,,
alias,ent_003327::trào lưu tư tưởng dân chủ tư sản,ent_003327,Concept,trào lưu tư tưởng dân chủ tư sản,trào lưu tư tưởng dân chủ tư sản,trào lưu tư tưởng dân chủ tư sản,"[""Concept""]",1,"[""lichsu_11_s140_bai24_sec6_003:e4""]",,,,,
alias,ent_001515::hiệp ước Patonốt,ent_001515,Concept,hiệp ước Patonốt,hiệp ước Patonốt,hiệp ước patonốt,"[""Concept""]",1,"[""lichsu_11_s120_bai21_sec3_001:e6""]",,,,,
alias,ent_003548::xây dựng chủ nghĩa xã hội,ent_003548,Concept,xây dựng chủ nghĩa xã hội,xây dựng chủ nghĩa xã hội,xây dựng chủ nghĩa xã hội,"[""Concept""]",1,"[""lichsu_11_s43_bai10_sec10_001:e9""]",,,,,
alias,ent_000622::chia ruộng đất công cho dân cày nghèo,ent_000622,Concept,chia ruộng đất công cho dân cày nghèo,chia ruộng đất công cho dân cày nghèo,chia ruộng đất công cho dân cày nghèo,"[""Concept""]",1,"[""lichsu_12_s144_bai14_sec6_003:e10""]",,,,,
alias,ent_001684::khai thác thuộc địa,ent_001684,Concept,khai thác thuộc địa,khai thác thuộc địa,khai thác thuộc địa,"[""Concept""]",1,"[""lichsu_12_s124_bai12_sec7_001:e6""]",,,,,
alias,ent_000648::chiến lược công nghiệp hoá lấy xuất khẩu làm chủ đạo,ent_000648,Concept,chiến lược công nghiệp hoá lấy xuất khẩu làm chủ đạo,chiến lược công nghiệp hoá lấy xuất khẩu làm chủ đạo,chiến lược công nghiệp hoá lấy xuất khẩu làm chủ đạo,"[""Concept""]",1,"[""lichsu_12_s45_bai4_sec4_001:e11""]",,,,,
alias,ent_001624::hợp tác hoá nông nghiệp,ent_001624,Concept,hợp tác hoá nông nghiệp,hợp tác hoá nông nghiệp,hợp tác hoá nông nghiệp,"[""Concept""]",1,"[""lichsu_12_s243_bai21_sec9_001:e8""]",,,,,
alias,ent_001547::hoạt động khoa học kĩ thuật,ent_001547,Concept,hoạt động khoa học kĩ thuật,hoạt động khoa học kĩ thuật,hoạt động khoa học kĩ thuật,"[""Concept""]",1,"[""lichsu_12_s303_bai25_sec5_004:e6""]",,,,,
alias,ent_002672::phong trào giải phóng dân tộc và bảo về đóc lập,ent_002672,Concept,phong trào giải phóng dân tộc và bảo về đóc lập,phong trào giải phóng dân tộc và bảo về đóc lập,phong trào giải phóng dân tộc và bảo về đóc lập,"[""Concept""]",1,"[""lichsu_12_s53_bai5_sec2_001:e6""]",,,,,
alias,ent_001275::đội ngũ công nhân,ent_001275,Concept,đội ngũ công nhân,đội ngũ công nhân,đội ngũ công nhân,"[""Concept""]",1,"[""lichsu_10_s217_001:e7""]",,,,,
alias,ent_000508::Cách mạng dân chủ mới,ent_000508,Concept,Cách mạng dân chủ mới,Cách mạng dân chủ mới,cách mạng dân chủ mới,"[""Concept""]",2,"[""lichsu_11_s66_bai15_sec1_001:e4"", ""lichsu_11_s67_bai15_sec2_001:e2""]",,,,,
alias,ent_003214::thuyết Mác,ent_003214,Concept,thuyết Mác,thuyết Mác,thuyết mác,"[""Concept""]",1,"[""lichsu_10_s212_002:e7""]",,,,,
alias,ent_001920::Liên minh chiến đấu chống Pháp,ent_001920,Concept,Liên minh chiến đấu chống Pháp,Liên minh chiến đấu chống Pháp,liên minh chiến đấu chống pháp,"[""Concept""]",1,"[""lichsu_11_s74_bai16_sec5_002:e10""]",,,,,
alias,ent_002407::nhà nước quân chủ sơ khai,ent_002407,Concept,nhà nước quân chủ sơ khai,nhà nước quân chủ sơ khai,nhà nước quân chủ sơ khai,"[""Concept""]",1,"[""lichsu_10_s92_001:e3""]",,,,,
alias,"ent_000776::chính sách ""bế quan toả cảng""",ent_000776,Concept,"chính sách ""bế quan toả cảng""","chính sách ""bế quan toả cảng""",chính sách bế quan toả cảng,"[""Concept""]",1,"[""lichsu_11_s111_bai20_sec5_001:e8""]",,,,,
alias,ent_001682::khai hoang,ent_001682,Concept,khai hoang,khai hoang,khai hoang,"[""Concept""]",1,"[""lichsu_10_s76_bai15_sec5_001:e5""]",,,,,
alias,ent_000601::chế độ phong kiến chuyên chế,ent_000601,Concept,chế độ phong kiến chuyên chế,chế độ phong kiến chuyên chế,chế độ phong kiến chuyên chế,"[""Concept""]",1,"[""lichsu_10_s183_001:e2""]",,,,,
alias,ent_002498::nông dân,ent_002498,Concept,nông dân,nông dân,nông dân,"[""Concept""]",1,"[""lichsu_10_s206_001:e2""]",,,,,
alias,ent_001378::Giá trị tổng sản lượng công nghiệp và thủ công nghiệp,ent_001378,Concept,Giá trị tổng sản lượng công nghiệp và thủ công nghiệp,Giá trị tổng sản lượng công nghiệp và thủ công nghiệp,giá trị tổng sản lượng công nghiệp và thủ công nghiệp,"[""Concept""]",1,"[""lichsu_12_s279_bai23_sec6_001:e8""]",,,,,
alias,ent_002754::quan hệ sản xuất tư bản chủ nghĩa,ent_002754,Concept,quan hệ sản xuất tư bản chủ nghĩa,quan hệ sản xuất tư bản chủ nghĩa,quan hệ sản xuất tư bản chủ nghĩa,"[""Concept""]",1,"[""lichsu_10_s53_bai11_sec2_001:e8""]",,,,,
alias,ent_002722::Quần chúng nhân dân,ent_002722,Concept,Quần chúng nhân dân,Quần chúng nhân dân,quần chúng nhân dân,"[""Concept""]",2,"[""lichsu_10_s178_001:e8"", ""lichsu_10_s183_001:e9""]",,,,,
alias,ent_001628::Hũ gạo cứu đói,ent_001628,Concept,Hũ gạo cứu đói,Hũ gạo cứu đói,hũ gạo cứu đói,"[""Concept""]",1,"[""lichsu_12_s187_bai17_sec8_001:e6""]",,,,,
alias,ent_002606::tư bản chủ nghĩa,ent_002606,Concept,phe tư bản chủ nghĩa,tư bản chủ nghĩa,tư bản chủ nghĩa,"[""Concept""]",1,"[""lichsu_12_s13_bai1_sec3_001:e5""]",,,,,
alias,ent_000874::cộng đồng người Bengan,ent_000874,Concept,cộng đồng người Bengan,cộng đồng người Bengan,cộng đồng người bengan,"[""Concept""]",1,"[""lichsu_12_s49_bai4_sec8_001:e5""]",,,,,
alias,ent_003157::thời cận đại,ent_003157,Concept,thời cận đại,thời cận đại,thời cận đại,"[""Concept""]",1,"[""lichsu_11_s24_bai7_sec1_001:e8""]",,,,,
alias,ent_000591::chế độ công xã thị tộc,ent_000591,Concept,chế độ công xã thị tộc,chế độ công xã thị tộc,chế độ công xã thị tộc,"[""Concept""]",1,"[""lichsu_10_s16_001:e2""]",,,,,
alias,ent_000514::Cách mạng dân tộc dân chủ nhân dân ở miền Nam,ent_000514,Concept,Cách mạng dân tộc dân chủ nhân dân ở miền Nam,Cách mạng dân tộc dân chủ nhân dân ở miền Nam,cách mạng dân tộc dân chủ nhân dân ở miền nam,"[""Concept""]",1,"[""lichsu_12_s249_bai21_sec15_001:e7""]",,,,,
alias,ent_002879::Sơn Tinh - Thuy Tinh,ent_002879,Concept,Sơn Tinh - Thuy Tinh,Sơn Tinh - Thuy Tinh,sơn tinh thuy tinh,"[""Concept""]",1,"[""lichsu_10_s165_001:e12""]",,,,,
alias,ent_001113::Đẳng cấp thứ ba,ent_001113,Concept,Đẳng cấp thứ ba,Đẳng cấp thứ ba,đẳng cấp thứ ba,"[""Concept""]",1,"[""lichsu_10_s180_001:e12""]",,,,,
alias,ent_001368::GDP thế giới,ent_001368,Concept,GDP thế giới,GDP thế giới,gdp thế giới,"[""Concept""]",1,"[""lichsu_12_s108_bai10_sec5_002:e7""]",,,,,
alias,ent_000602::chế độ phong kiến Đàng Ngoài,ent_000602,Concept,chế độ phong kiến Đàng Ngoài,chế độ phong kiến Đàng Ngoài,chế độ phong kiến đàng ngoài,"[""Concept""]",1,"[""lichsu_10_s131_bai23_sec6_001:e3""]",,,,,
alias,ent_003535::xã hội cổ đại,ent_003535,Concept,xã hội cổ đại,xã hội cổ đại,xã hội cổ đại,"[""Concept""]",1,"[""lichsu_10_s59_001:e1""]",,,,,
alias,ent_000653::chiến lược phát triển kinh tế xã hội 10 năm,ent_000653,Concept,chiến lược phát triển kinh tế xã hội 10 năm,chiến lược phát triển kinh tế xã hội 10 năm,chiến lược phát triển kinh tế xã hội 10 năm,"[""Concept""]",1,"[""lichsu_12_s312_bai26_sec7_003:e11""]",,,,,
alias,ent_003437::vắc-xin chống bệnh chó dại,ent_003437,Concept,vắc-xin chống bệnh chó dại,vắc-xin chống bệnh chó dại,vắc xin chống bệnh chó dại,"[""Concept""]",1,"[""lichsu_10_s195_002:e9""]",,,,,
alias,ent_003446::văn hoá Sơn Vi,ent_003446,Concept,văn hoá Sơn Vi,văn hoá Sơn Vi,văn hoá sơn vi,"[""Concept""]",1,"[""lichsu_10_s66_001:e6""]",,,,,
alias,ent_001895::lí luận khoa học,ent_001895,Concept,lí luận khoa học,lí luận khoa học,lí luận khoa học,"[""Concept""]",1,"[""lichsu_10_s207_003:e6""]",,,,,
alias,ent_002797::quý tộc vương hầu,ent_002797,Concept,quý tộc vương hầu,quý tộc vương hầu,quý tộc vương hầu,"[""Concept""]",1,"[""lichsu_10_s92_002:e2""]",,,,,
alias,ent_001649::Internet,ent_001649,Concept,Internet,Internet,internet,"[""Concept""]",1,"[""lichsu_12_s107_bai10_sec4_003:e6""]",,,,,
alias,ent_000818::chữ Nôm,ent_000818,Concept,chữ Nôm,chữ Nôm,chữ nôm,"[""Concept""]",1,"[""lichsu_10_s113_001:e12""]",,,,,
alias,ent_001664::Kế hoạch Nava,ent_001664,Concept,Kế hoạch Nava,Kế hoạch Nava,kế hoạch nava,"[""Concept""]",1,"[""lichsu_12_s224_bai20_sec4_001:e6""]",,,,,
alias,ent_001558::Học thuyết Truman,ent_001558,Concept,Học thuyết Truman,Học thuyết Truman,học thuyết truman,"[""Concept""]",1,"[""lichsu_12_s96_bai9_sec3_002:e7""]",,,,,
alias,ent_000975::cuộc khởi nghĩa Yên Thế,ent_000975,Event,cuộc khởi nghĩa Yên Thế,cuộc khởi nghĩa Yên Thế,cuộc khởi nghĩa yên thế,"[""Event""]",1,"[""lichsu_11_s120_bai21_sec3_001:e2""]",,,,,
alias,ent_003380::Trương Định tự sát,ent_003380,Event,Trương Định tự sát,Trương Định tự sát,trương định tự sát,"[""Event""]",1,"[""lichsu_11_s105_bai19_sec6_003:e2""]",,,,,
alias,ent_001090::Đại hội VII,ent_001090,Event,Đại hội VII,Đại hội VII,đại hội vii,"[""Event""]",2,"[""lichsu_12_s310_bai26_sec5_001:e6"", ""lichsu_12_s311_bai26_sec6_003:e2""]",,,,,
alias,ent_003555::xâm lược Sơn Đông,ent_003555,Event,xâm lược Sơn Đông,xâm lược Sơn Đông,xâm lược sơn đông,"[""Event""]",1,"[""lichsu_11_s63_bai14_sec4_001:e2""]",,,,,
alias,ent_003293::trận Bạch Đằng,ent_003293,Event,trận Bạch Đằng,trận Bạch Đằng,trận bạch đằng,"[""Event""]",1,"[""lichsu_10_s88_001:e1""]",,,,,
alias,"ent_000625::chống Mĩ, cứu nước",ent_000625,Event,"Chiến chống Mĩ, cứu nước","chống Mĩ, cứu nước",chống mĩ cứu nước,"[""Event""]",1,"[""lichsu_12_s294_bai24_sec4_001:e1""]",,,,,
alias,ent_002916::sụp đổ triều Lê sơ,ent_002916,Event,sụp đổ triều Lê sơ,sụp đổ triều Lê sơ,sụp đổ triều lê sơ,"[""Event""]",1,"[""lichsu_10_s118_001:e3""]",,,,,
alias,ent_003229::tiến công,ent_003229,Event,tiến công,tiến công,tiến công,"[""Event""]",1,"[""lichsu_10_s133_bai23_sec8_002:e3""]",,,,,
alias,ent_000934::Cuộc cách mạng 1870 - 1871,ent_000934,Event,Cuộc cách mạng 1870 - 1871,Cuộc cách mạng 1870 - 1871,cuộc cách mạng 1870 1871,"[""Event""]",1,"[""lichsu_10_s219_001:e3""]",,,,,
alias,ent_002528::nước Lào tuyên bố độc lập,ent_002528,Event,nước Lào tuyên bố độc lập,nước Lào tuyên bố độc lập,nước lào tuyên bố độc lập,"[""Event""]",1,"[""lichsu_12_s43_bai4_sec2_001:e12""]",,,,,
alias,ent_001009::cuộc xâm lược Việt Nam,ent_001009,Event,cuộc xâm lược Việt Nam,cuộc xâm lược Việt Nam,cuộc xâm lược việt nam,"[""Event""]",1,"[""lichsu_11_s140_bai24_sec6_001:e7""]",,,,,
alias,ent_000905::công nhân mỏ than Hà Tu đánh trả lính khố xanh,ent_000905,Event,công nhân mỏ than Hà Tu đánh trả lính khố xanh,công nhân mỏ than Hà Tu đánh trả lính khố xanh,công nhân mỏ than hà tu đánh trả lính khố xanh,"[""Event""]",1,"[""lichsu_11_s139_bai24_sec5_001:e8""]",,,,,
alias,ent_001769::khởi nghĩa vũ trang ở Gia-va và Xu-ma-tơ-ra,ent_001769,Event,khởi nghĩa vũ trang ở Gia-va và Xu-ma-tơ-ra,khởi nghĩa vũ trang ở Gia-va và Xu-ma-tơ-ra,khởi nghĩa vũ trang ở gia va và xu ma tơ ra,"[""Event""]",1,"[""lichsu_11_s73_bai16_sec4_001:e3""]",,,,,
alias,ent_001589::Hội nghị hoà bình ở Vécxai,ent_001589,Event,Hội nghị hoà bình ở Vécxai,Hội nghị hoà bình ở Vécxai,hội nghị hoà bình ở vécxai,"[""Event""]",1,"[""lichsu_11_s48_bai11_sec2_001:e5""]",,,,,
alias,ent_001093::Đại hội VIII,ent_001093,Event,Đại hội VIII,Đại hội VIII,đại hội viii,"[""Event""]",1,"[""lichsu_12_s310_bai26_sec5_001:e7""]",,,,,
alias,ent_003278::Tổng khởi nghĩa tháng Tám,ent_003278,Event,Tổng khởi nghĩa tháng Tám,Tổng khởi nghĩa tháng Tám,tổng khởi nghĩa tháng tám,"[""Event""]",4,"[""lichsu_12_s146_bai14_sec8_001:e6"", ""lichsu_12_s157_bai15_sec7_001:e4"", ""lichsu_12_s162_bai16_sec4_001:e2"", ""lichsu_12_s318_bai27_sec5_001:e2""]",,,,,
alias,ent_003595::xung đột biên giới Trung Quốc - Ấn Độ,ent_003595,Event,Xung đột biên giới Trung Quốc - Ấn Độ,xung đột biên giới Trung Quốc - Ấn Độ,xung đột biên giới trung quốc ấn độ,"[""Event""]",1,"[""lichsu_12_s40_bai3_sec6_001:e1""]",,,,,
