audit_kind,item_id,entity_type,name,description,evidence_text,confidence,years,chunk_id,book,chapter,section,pages,source_files,chunk_text_preview,is_valid,type_correct,evidence_support,direction_correct,notes
entity,lichsu_10_s32_001:e4,Concept,thời kì chia rẽ khủng hoảng,Thời kì Ấn Độ trải qua sau cái chết của A-sô-ca,một thời kì chia rẽ khủng hoảng,0.95,[],lichsu_10_s32_001,lichsu_10,Bài,VÀ NÊN VĂN HOÁ ĐA DANG,"[37, 38, 39, 41]","[""data/corpus/lichsu_10/lichsu_10.pdf_37.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_38.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_39.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_41.jpg.txt""]","đất nước A sô ca qua đời cuối thế kỉ III TCN. Ấn Độ bước vào một thời kì chia rẽ khủng hoảng kéo dài mấy thế kỉ cho đến đầu Công nguyên. B Quá trình hình thành và phát triển của nhà nước Ma-ga-đa VÀ NÊN VĂN HOÁ ĐA DANG CỦA ẤN ĐÔ Ấn Độ thời Gúp-ta bắt đầu phát triển trên lưu vực sông Hà Hằng ở phía bắc, làm cơ sở hình thành nền hoáng nhanh niều năng nhiền nhiền hiện viên hoành ninh niều năng nhành niều năng nhà truyền thống Ân Độ - văn hoá Hinđu, Nền văn hoá đó tiếp tục phát triển ở thời Hậu Gúp-",,,,,
entity,lichsu_10_s25_001:e11,Concept,thành tựu văn hoá,Những thành tựu rực rỡ mà nhân dân Trung Quốc đạt được.,nhân dân Trung Quốc đạt được nhiều thành tựu văn hoá tực tỡ,0.95,[],lichsu_10_s25_001,lichsu_10,Bài,TRUNG QUỐC THỜI PHONG KIẾN,"[24, 28]","[""data/corpus/lichsu_10/lichsu_10.pdf_24.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_28.jpg.txt""]","(Bê-nê-ven-tô, Nam I-ta-li-a) Trai an, đức đô và cao cả, người chiến thắng Giéc-man và Đa xi a, Đại Tư tế, Hộ dân 18 kì, Tổng chỉ huy 7 trân, Chấp chính 6 kì, Quốc phu, Nguyên thủ anh dũng nhất) TRUNG QUỐC THỜI PHONG KIẾN Ở Trung Quốc vào những thế kỉ cuối trước Công nguyên, do sự phát triển sản xuất, xã hội piai cấp, nên chế độ phong kiến được hình thành sớm. Nhà Tần đã khởi đầu xây dựng bộ máy chính quyền phong kiến. Hoàng đế có quyền tuyệt đối. Thời phong kiến, kinh tế Trung Quốc phát triển, ",,,,,
entity,lichsu_10_s96_001:e4,Concept,"kinh tế tự chủ, toàn diện",Nền kinh tế được nhân dân Việt Nam xây dựng và phát triển từ thế kỉ X đến thế kỉ XV,"xây dựng và phát triển một nền kinh tế tự chủ, toàn diện",0.9,[],lichsu_10_s96_001,lichsu_10,Bài,TRONG CÁC THẾ KỈ X - XV,"[88, 89, 91]","[""data/corpus/lichsu_10/lichsu_10.pdf_88.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_89.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_91.jpg.txt""]","thắng mở thì chân nho mới có"" Thiếu (Lịch triều hiến chương loai chi) Quý tộc, quan lại được ban phẩm hàm, cấp lương bổng và ruộng đất B Những thay đổi qua cuộc cải cách hành chính thời Lê Thánh Tông TRONG CÁC THẾ KỈ X - XV Với niềm tự hào chân chính và ý thức vươn lên, từ thế kỉ X cho đến thế kỉ XV, nhân dân Việt Nam đã cần cù lao động, xây dựng và phát triển một nền kinh tế tự chủ, toàn diện. Ruộng đất ngày càng, thủ công nghiệp ngày càng phát triển tạo điều kiện cho sự phát triển của thương n",,,,,
entity,lichsu_10_s212_002:e7,Concept,thuyết Mác,"Hệ thống quan điểm triết học, kinh tế, chính trị học và chủ nghĩa xã hội khoa học được hình thành từng bước qua các tác phẩm của Mác và Áng-ghen.",từng bước hình thuyết Mác.,0.95,[],lichsu_10_s212_002,lichsu_10,Bài,1. Buổi đầu hoạt động cách mạng của Ph. ng-ghen thuy,"[188, 189]","[""data/corpus/lichsu_10/lichsu_10.pdf_188.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_189.jpg.txt""]","ấp vô sản không chỉ là nạn nhân của chủ nghĩa tư bản mà còn là lực lượng có thể đánh đổ sự thống trị của giai cấp tư sản và tự giải phóng khỏi mọi xiềng xích. Năm 1844, Áng ghen sang Pa-ii và gặp Mác. Cuộc gặp gỡ này đã mở đầu tình bạn và sự cộng tác giữa hai ông. Then Từ năm 1844 đến năm 1847, những tác phẩm của Mác và Áng-ghen cho thấy chiến thi sự chín muồi về những quan điểm triết học, kinh tế ? chính trị học và chủ nghĩa xã hội khoa học, từng bước hình thuyết Mác. B",,,,,
entity,lichsu_11_s6_003:e8,Concept,chính sách thống nhất tiền tệ,chính sách được chính phủ thi hành về kinh tế,chính sách thống nhất tiền tê,0.95,[],lichsu_11_s6_003,lichsu_11,Bài,Bài,"[4, 5, 6]","[""data/corpus/lichsu_11/lichsu_11.pdf_4.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_5.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_6.jpg.txt""]","ách tiến bộ nhâm đưa Nhật Bản thoát khỏi tình trang một nước phong kiến lạc hậu. Đó là cuộc Duy tân Minh Tri được tiến hành trên tất cả các lĩnh vực : chính tri, kinh tế, quân sự, văn hoá - giáo dục.. Hinh 1 Thiên hoàng Minh Tri (1852 - 1912) Về chính trị - Nhật hoàng tuyên bố thủ tiêu chế độ Mạc phủ, thành lập chính phủ mới, trong đó đại biểu của tầng lớp quý tộc tư sản hoá đóng vai trò quan trong thực hiên quyền bình đẳng giữa các công dân Năm 1889, Hiến pháp mới được ban hành, chế độ quân chủ",,,,,
entity,lichsu_12_s297_bai24_sec7_002:e4,Concept,chính sách đối nội và đối ngoại,Các chính sách được Quốc hội thông qua,chính sách đối nội và đối ngoại của Nhà nước Viết Nam nghi thống nhất,0.95,[],lichsu_12_s297_bai24_sec7_002,lichsu_12,Bài 24,HII - HOÀN THÀNH THỐNG NHẤT ĐẤT NƯỚC VỀ MẶT NHÀ NƯỚC (1975 ? 1976),"[200, 201, 202, 203]","[""data/corpus/lichsu_12/lichsu_12.pdf_200.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_201.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_202.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_203.jpg.txt""]","Hơn 23 tnêu cử tri (chiếm 98,8% tổng số cử in) đi bó phiếu và bầu ra 492 đai biểu Fr Parting Từ ngày 24 - 6 đến ngày 3 - 7 - 1976, Quốc hội khoá VI nước Viết Nam thống nhất họp kì đầu tiên tại Hà Nôi. Quốc hội thông qua chính sách đối nội và đối ngoại của Nhà nước Viết Nam nghi thống nhất, quyết đỉnh tên nước là Cộng hoà xã hội chủ nghĩa Viết Nam (từ ngày 2-1?1976), quyết đình Quốc huy mang dòng chữ Cộng hoà xã hội chủ nghĩa Việt Nam, Quốc kì là là cờ đỏ sao vàng, Quốc ca là bài Tiến quân ca, th",,,,,
entity,lichsu_10_s22_bai4_sec6_001:e12,Concept,Khải hoàn môn,Được Thương viện và dân chúng Rô-ma dâng tặng cho Hoàng đế Xê-da.,Khải hoàn môn,0.8,[],lichsu_10_s22_bai4_sec6_001,lichsu_10,Bài 4,INNO OPTIMO AVG (USTO) GER-,"[20, 21, 22, 24]","[""data/corpus/lichsu_10/lichsu_10.pdf_20.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_21.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_22.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_24.jpg.txt""]","của A-ten là những đồng tiền thuộc loại cổ nhất trên thế giới. Như thế, nền kinh tế của các nhà nước ở vùng Địa Trung Hải phát triển mau lẹ Hi Lạp và Rô ma sớm trở thành các quốc gia giàu mạnh thuy R INNO OPTIMO AVG (USTO) GER- MANICO DACICO PONTIF (ICI) MAX (IMO) TRIB Ba (uniciae) POTEST (atis) XVIII IMP (eratori) VII COS (consuli) VI P (atri) P (atriae) FORTISSIMO PRINCIPI SENATVS P.Q.R. (Thương viện và dân chúng Rô-ma dâng tăng Khải hoàn môn [này] cho Hoàng đế Xê-da, [và] con của Ne-rva thần ",,,,,
entity,lichsu_10_s198_001:e12,Concept,mâu thuẫn giữa các nước đế quốc,Sự xung đột lợi ích giữa các quốc gia đế quốc,mâu thuẫn giữa các nước đế quốc,0.95,[],lichsu_10_s198_001,lichsu_10,Bài,VÀ SƯ BÀNH TRƯỚNG THUỘC ĐIAN,"[170, 171, 172, 174]","[""data/corpus/lichsu_10/lichsu_10.pdf_170.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_171.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_172.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_174.jpg.txt""]","bộ về khoa học kh ki thuật cuối thế kỉ xix ? đầu thế ki XX đã làm thay đối cơn bản bản nền sản xuất và cơ cấu kinh tế tư bản chủ nghĩa, đánh dấu bước tiến mới của chủ nghĩa tư bản ở giai đoạn này. VÀ SƯ BÀNH TRƯỚNG THUỘC ĐIAN Cuối thế kỉ XIX - đầu thế kỉ XX, sự phát triển nhảy vọt của nền kinh tế Đức và kinh tế Mĩ vượt qua Anh, Pháp là những biểu hiện về sự phát triển không đều của chủ nghĩa tư bản. Việc đấy mạnh xâm lược thuộc địa, phân chia lại thị trường thế giới làm cho mâu thuẫn giữa các nư",,,,,
entity,lichsu_12_s148_bai14_sec10_001:e11,Concept,Chương trình hành động của Đảng,"Chủ trương đấu tranh đòi các quyền tự do dân chủ cho nhân dân lao động, thả tù chính trị, bãi bỏ các thứ thuế bất công, củng cố và phát triển các đoàn thể cách mạng của quần chúng.",Chương trình hành đông của Đảng,0.9,[],lichsu_12_s148_bai14_sec10_001,lichsu_12,Bài 14,1. Cuộc đấu tranh phục hồi phong trào cách mạng,"[95, 96, 97]","[""data/corpus/lichsu_12/lichsu_12.pdf_95.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_96.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_97.jpg.txt""]","công nông và mặt trận dân tốc 19 thống nhất, về tổ chức, lãnh đạo quần chúng đầu tranh. Póoý nghĩa nhu Các chố cuốc lập dươt đầu tiên của Đảng và quân chúng cho Tổng khới nghĩa tháng Tâm sau này L 1. Cuộc đấu tranh phục hồi phong trào cách mạng Cuộc khủng bố của thực dân Pháp đã làm cho lực lương cách mạng bị tổn thất nặng nề Hàng vàn người bị bắt, bị tù đày, Các nhà tò (Hà Nội), Khám Lớn (Sai Gòn), Côn Đảo, Kon Tum, Lao Bào, Sơn La v.v. chính tn, hâu hết Chinh Các uỷ viên Ban Chấp hành Trung ươ",,,,,
entity,lichsu_10_s218_001:e5,Concept,học thuyết Mác,Học thuyết được Quốc tế thứ nhất truyền bá.,truyền bá học 19 thuyết Mác,0.95,[],lichsu_10_s218_001,lichsu_10,Bài,2. Hoạt động của Quốc tế thứ nhất,"[192, 193, 194]","[""data/corpus/lichsu_10/lichsu_10.pdf_192.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_193.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_194.jpg.txt""]","Hội Liên hiệp lao động quốc tế (thường được gọi là Quốc tế thứ nhất) được thành lập với sự tham gia tích cực của Mác tuyên bố thành lập Quốc tế thứ nhất Quốc tế thứ nhất ra đời trong hoàn cành nào ? 2. Hoạt động của Quốc tế thứ nhất Trong thời gian tồn tại (từ tháng 9 ? 1864 đến tháng 7 ? 1876), Quốc tế thứ nghiệp nhất đã tiến hành 5 đại hội. Hoạt động chủ yếu của Quốc tế nhằm truyền bá học 19 thuyết Mác, chống những tư tưởng lệch lạc trong nội bộ ; đồng thời, thông quan những những nghị quyết c",,,,,
entity,lichsu_12_s188_bai17_sec9_001:e6,Concept,phong trào xoá nạn mù chữ,Phong trào được kêu gọi nhân dân cả nước tham gia,kêu gọi nhân dân cả nước tham gia phong trào xoá nan mù chữ,0.9,[],lichsu_12_s188_bai17_sec9_001,lichsu_12,Bài 17,3. Giải quyết nạn dốt,"[123, 124, 125]","[""data/corpus/lichsu_12/lichsu_12.pdf_123.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_124.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_125.jpg.txt""]","hoang cho nông dân thiếu ruộng, chia lại ruông đất công theo nguyên tác công bàng, dân chủ Nhờ các biên pháp tích cực trên, sản xuất nông nghiệp nhanh chóng được phục hồi, nạn đói dân dân bị đẩy lùi. 3. Giải quyết nạn dốt Xoá nan mù chữ, nâng cao trình độ văn hoá cho nhân dân là một trong những nhiêm vu cấp bách cần giải quyết Ngày 8 - 9 - 1945, Chủ tịch Hồ Chí Minh kí Sác lênh thành lập Nha Bình dân học vụ ? cơ quan chuyên trách về chống """"giác dốt"" - và kêu gọi nhân dân cả nước tham gia phong ",,,,,
entity,lichsu_11_s58_bai13_sec4_001:e10,Concept,Đạo luật Phục hưng công nghiệp,Một trong các đạo luật quan trọng nhất trong Chính sách mới,Đạo luật Phục hưng công nghiệp là quan trọng nhất,0.9,[],lichsu_11_s58_bai13_sec4_001,lichsu_11,Bài 13,HI NƯỚC MI TRONG NĂM 1929 1939,"[69, 70, 71, 72, 73]","[""data/corpus/lichsu_11/lichsu_11.pdf_69.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_70.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_71.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_72.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_73.jpg.txt""]","nghĩa tư do thái quá đã đưa đến sư phát triển không nghiệp đông bô giữa các ngành công nghiệp, giữa công nghiệp với nông nghiệp, và không có kế hoạch dài hạn cho sự cân đối giữa sản xuất và tiêu dùng HI NƯỚC MI TRONG NĂM 1929 1939 1 Cuộc khúng hoảng kinh tế (1933) ở Mi Trong khi giai cấp tư sản Mĩ đang hết lời ca ngơi sự phốn vinh của nền kinh tế thì cuộc khủng hoảng kinh tế chưa từng thấy bất ngờ bùng nổ vào tháng 10 1929 chấm dứt thời kì hoàng kinh tế Mĩ Cuốc khùng hoáng bất đầu trong lĩnh vực",,,,,
entity,lichsu_10_s10_002:e6,Concept,tiếng nói,Trở nên thuần thục hơn do nhu cầu trao đổi.,Tiếng chiến nhiền nói thuần thục hơn do nhu cầu trao đổi với nhau.,0.8,[],lichsu_10_s10_002,lichsu_10,Bài,1. Sự xuất hiện loài người và đời sống bầy người nguyên thuỷ,"[4, 5, 6]","[""data/corpus/lichsu_10/lichsu_10.pdf_4.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_5.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_6.jpg.txt""]","ng bậc nhất, cải thiên căn bản đời sống của mình Qua lao động, chế tạo công cụ và sử dụng công cụ, bàn tay con người khéo Theo léo dần. Cơ thể cũng do đó biến đổi theo đề có tư thế lao động thích hợp. Tiếng chiến nhiền nói thuần thục hơn do nhu cầu trao đổi với nhau. Con người tự cải biến, hoàn thiện mình từng bước nhờ lao động. Ở một số loài động vật đã hình thành một cách tự nhiên quan hệ hợp đoàn; và người có đôi, có đần và con đầu đàn. Người tối cổ đã có quan hệ hợp quần xã hội: có người ngư",,,,,
