audit_kind,item_id,relation_type,source_id,source_type,source_name,target_id,target_type,target_name,description,evidence_text,confidence,chunk_id,book,chapter,section,pages,source_files,chunk_text_preview,is_valid,type_correct,evidence_support,direction_correct,notes
relation,lichsu_12_s192_bai17_sec13_003:6:e8-OCCURRED_AT-e9,OCCURRED_AT,e8,Event,kì họp đầu tiên của Quốc hội khoá I,e9,Time,2-3-1946,kì họp đầu tiên của Quốc hội khoá I diễn ra vào tháng 2 hoặc 3 năm 1946,kì họp đầu tiên (2 ? 3 ? 1946),0.9,lichsu_12_s192_bai17_sec13_003,lichsu_12,Bài 17,1. Kháng chiến chống thực dân Pháp trở lại xâm lược ở Nam Bộ,"[125, 126, 127]","[""data/corpus/lichsu_12/lichsu_12.pdf_125.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_126.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_127.jpg.txt""]","dành cho chúng một số ghế trong Quốc hội không qua bầu cử, đòi những người cộng sản ra khỏi Chính phủ v.v Nhàm hạn chế sự phá hoại của quân Trung Hoa Dân quốc và tay sai, tại kì họp đầu tiên (2 ? 3 ? 1946), Quốc hôi khoá I đồng ý nhường cho các đảng Viết Quốc; Viêt Cách 70 ghế trong Quốc hội không qua bầu cử cùng với 4 ghế bô trưởng trong Chính phủ liên hiệp, Nguyễn Hải Thân (lãnh tụ Việt Cách) giữ chức Phó Chủ tích người nước , đồng thời nhân nhương cho quân Trung Hoa Dân quốc một số quyền lơi ",,,,,
relation,lichsu_12_s56_bai5_sec5_001:3:e4-OCCURRED_AT-e1,OCCURRED_AT,e4,Event,cuộc bầu cử dân chủ,e1,Place,Nam Phi,Cuộc bầu cử dân chủ diễn ra ở Nam Phi,Các cuốc bầu cứ dân chủ giữa các chủng tốc ở Nam Phi (4 - 1994),0.95,lichsu_12_s56_bai5_sec5_001,lichsu_12,Bài 5,XAO TÔMÊ VÀ PRINXIP THENG,"[35, 36, 37]","[""data/corpus/lichsu_12/lichsu_12.pdf_35.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_36.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_37.jpg.txt""]",T XUĐĂNG PHAXO Gall 1960 1956 GHINÊ 1960 GIBUTL NIGIERIA 11977 19581 XÔMALI ETIOPIA 1960 TRUNG PHI 1974 SP CAMORUN 1960 GHINÊN 1960 STAR UGAINĐA XÍCH ĐAQ4975 01/115000000199 1962 KÊN ANH VINIIGNINE XAO TÔMÊ VÀ PRINXIP THENG 1963 1968 CHDOS 1962 BURUNDI JANDALITICAL CÔNGGÔ EN 1960 1962 1960 TANDANIA Hó T 1964 VĂNGG LI TH CÔMO MALAUY 1975 D 1975 DẦMBIẠT 1964 1964 Q DIMBABUÊ MADAGAXCA NAMIBIA 1980 1960 1990 BỐTXOAN 1975 MÔRIXƠ 1966 I 1968 Các nước châu Phi ROADILEN Các nước khác K LÊ XỐ THÔ NIGIÊ T,,,,,
relation,lichsu_11_s139_bai24_sec5_001:2:e2-OCCURRED_AT-e3,OCCURRED_AT,e2,Event,cuộc vận động khởi nghĩa năm 1916,e3,Place,Huế,cuộc vận động khởi nghĩa diễn ra ở Huế,khởi nghĩa năm 1916 ở Huế,0.9,lichsu_11_s139_bai24_sec5_001,lichsu_11,Bài 24,HI SỰ XUẤT HIỆN KHUYNH HƯỚC MỚI,"[148, 149, 152, 153]","[""data/corpus/lichsu_11/lichsu_11.pdf_148.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_149.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_152.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_153.jpg.txt""]","3 người đều bị giác bắt. Nghĩa bình ở Thừa Thiên, Quảng Ngãi nổi dậy, nhưng thiếu người lãnh đạo nên tan rã nhanh chóng B Việc vua Duy Tân tham gia cuộc vận động khởi nghĩa năm 1916 ở Huế có ý nghĩa HI SỰ XUẤT HIỆN KHUYNH HƯỚC MỚI 1 Phong trào công nhân Trong những năm Chiến tranh thế giới thứ nhất, công nhân đã kết hợp đấu tranh đòi quyền lợi kinh tế với bao động vũ trang Ngày 22 2 - 1916, nữ công nhân nhà máy sàng Kế Bào (Quảng Ninh) nghi viêc 77 ngày chống cúp phạt lương, Cũng trong năm này, ",,,,,
relation,lichsu_12_s136_bai13_sec7_001:1:e2-OCCURRED_AT-e1,OCCURRED_AT,e2,Event,Phong trào đấu tranh,e1,Time,Năm 1929,Phong trào đấu tranh phát triển vào năm 1929.,"Năm 1929, phong trào đấu tranh của công nhân, nông dân, tiểu tư sản và các thi tháng lớp nhân dân yêu nước khác đã phát triển",0.95,lichsu_12_s136_bai13_sec7_001,lichsu_12,Bài 13,II - ĐẢNG CỘNG SẢN VIỆT NAM RA ĐỜI,"[85, 86, 87, 88, 89]","[""data/corpus/lichsu_12/lichsu_12.pdf_85.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_86.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_87.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_88.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_89.jpg.txt""]","cách là một chính đảng cách người mang trong phong trào dân tộc vừa mới xuất hiên đã châm dứt cùng với sự thất ban của khơi nghĩa Yên Bái. và Việt Nam Quốc dân đảng đã ra đời và hoạt động như thế nào II - ĐẢNG CỘNG SẢN VIỆT NAM RA ĐỜI 1.Sự xuất hiện các tổ chức cộng sản năm 1929 Năm 1929, phong trào đấu tranh của công nhân, nông dân, tiểu tư sản và các thi tháng lớp nhân dân yêu nước khác đã phát triển, kết thành một làn sóng dân tộc dân chủ ngày càng lan rộng Cuối tháng 3 ? 1929, một số hội viê",,,,,
relation,lichsu_10_s187_002:7:e11-OCCURRED_AT-e12,OCCURRED_AT,e11,Event,khánh thành đoạn đường sắt đầu tiên,e12,Time,năm 1825,sự kiện khánh thành đoạn đường sắt đầu tiên xảy ra vào năm 1825,"Năm 1825, nước Anh khánh thành đoạn đường sắt đầu tiên",0.95,lichsu_10_s187_002,lichsu_10,Bài,1. Cách mạng công nghiệp ở Anh,"[159, 160, 161]","[""data/corpus/lichsu_10/lichsu_10.pdf_159.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_160.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_161.jpg.txt""]","c sử dụng máy hơi nước đã trở thành phổ biến, do vậy tốc độ sản xuất người và năng suất lao động tăng lên rõ iệt. Máy hơi nước đã tạo ra nguồn động lực mới, làm giảm sức lao động cơ bắp của con người. Lao động bằng tay dần được thay thế bằng máy móc, khởi đầu quá trình công nghiệp hoá ở nước Anh. Nhu cầu dùng máy tăng lên đã thức đẩy ngành chế tạo máy ra đời và thi phát triển, đồng thời đòi hỏi số lương và chất lương kim loại nhiều và cao hơn phát minh về phương pháp nấu than cốc năm 1735 là một",,,,,
relation,lichsu_12_s15_bai1_sec5_001:3:e3-OCCURRED_AT-e4,OCCURRED_AT,e3,Event,Hội nghị quốc tế thành lập Liên hợp quốc,e4,Place,Xan Phranxixcô,Hội nghị quốc tế thành lập Liên hợp quốc họp tại Xan Phranxixcô.,một thôi nghi quốc tế họp tai Xan Phranxixcô (Mi),0.95,lichsu_12_s15_bai1_sec5_001,lichsu_12,Bài 1,II - SỰ THÀNH LẬP LIÊN HỢP QUỐC,"[4, 5, 6, 7, 8]","[""data/corpus/lichsu_12/lichsu_12.pdf_4.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_5.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_6.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_7.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_8.jpg.txt""]","phía Bắc Toàn bộ những quyết định của Hội nghi lanta cùng những thoả thuân sau đó của ba cho ba cường quốc đã trở thành khuôn khổ của trật tư thế giới mới, thường được goi là trật tự hai cưc lanta. II - SỰ THÀNH LẬP LIÊN HỢP QUỐC Sau Hội nghi Tanta không lâu, từ ngày 25 - 4 đến ngày 26 - 6 - 1945, một thôi nghi quốc tế họp tai Xan Phranxixcô (Mi) với sư tham gia của đại biểu 50 nước; để thông qua bản Hiến chương và tuyên bố thành lập tổ chức Liên hợp quốc Ngày 24 - 10 ? 1945, sau khi được Quốc h",,,,,
relation,lichsu_10_s150_001:7:e8-OCCURRED_AT-e9,OCCURRED_AT,e8,Event,khởi nghĩa chống phong kiến,e9,Time,giữa thế kỉ XIX,Các cuộc khởi nghĩa chống phong kiến kéo dài cho đến giữa thế kỉ XIX.,kéo dài cho đến giữa thế kỉ XIX.,0.85,lichsu_10_s150_001,lichsu_10,Bài,ĐẤU TRANH CỦA NHÂN DÂN,"[126, 127, 130]","[""data/corpus/lichsu_10/lichsu_10.pdf_126.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_127.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_130.jpg.txt""]","đình Nguyễn chịu phục tùng, nhưng đối với Lào và Chân Lạp lại bắt họ thần phục Trước sự nhòm ngó của các nước phương Tây, nhà Nguyễn chủ trương "" đóng cửa?, không chấp nhận việc đặt quan hệ với họ. B ĐẤU TRANH CỦA NHÂN DÂN Đất nước trở lại thống nhất, tạm thời yên bình dưới sự thống trị của một nhà nước mới. Nhưng những thể chế cũ của chế độ phong kiến vẫn được duy trì, không tạo ngo điều kiện vượt qua khủng hoảng cuộc sống của nhân dân ngày càng thêm khổ cực. Mâu thuẫn giai cấp thống trị và nhâ",,,,,
relation,lichsu_12_s133_bai13_sec4_002:11:e10-OCCURRED_AT-e11,OCCURRED_AT,e10,Event,bãi công của công nhân,e11,Place,Hải Phòng,Bãi công của công nhân nổ ra ở nhà máy chai Hải Phòng.,nhà may chai Hai Phòng,0.95,lichsu_12_s133_bai13_sec4_002,lichsu_12,Bài 13,SỰ RA ĐỜI VÀ HOẠT ĐỘNG CỦA BA TỔ CHỨC CÁCH MẠNG,"[83, 84, 85]","[""data/corpus/lichsu_12/lichsu_12.pdf_83.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_84.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_85.jpg.txt""]","g dân tộc cho cán bộ O Của Hôi Việt Nam Cách mang Thanh để tuyên truyền đến giai cấp công nhân và các tầng lớp nhân dân Việt Nam 031100000119 Hội đã xây dựng tổ chức cơ sở của mình ở hầu khắp cả nước. Các kì bô Trung Ki, Nam Ki của Hội lần lượt ra đời vào năm 1928, Hội có gần 300 hội viên 1929 Đường Kách mệnh có khoảng 1 700 hội viên và còn xây dựng cơ sở trong Việt kiểu ở Xiêm (Thái Lan) Tại Quảng Châu, ngày 9 - 7 - 1925, Nguyễn Ai Quốc đã cùng một số nhà yêu nước Triều Tiên, Inđônêxia v.v. lập",,,,,
relation,lichsu_12_s215_bai19_sec6_001:1:e1-OCCURRED_AT-e2,OCCURRED_AT,e1,Event,Đại hội đại biểu lần thứ II của Đảng Cộng Sản Đông Dương,e2,Time,11 đến 19 tháng 2 năm 1951,Đại hội đại biểu lần thứ II của Đảng Cộng Sản Đông Dương diễn ra vào thời gian này.,Từ ngày 11 đến ngày 19 ? 2 - 1951,0.9,lichsu_12_s215_bai19_sec6_001,lichsu_12,Bài 19,II ĐẠI HỘI ĐẠI BIỂU LẦN THỨ II CỦA ĐẢNG (2?1951),"[139, 140, 141]","[""data/corpus/lichsu_12/lichsu_12.pdf_139.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_140.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_141.jpg.txt""]","tí phrăng ngân sách. Các phái đoàn viên trơ kinh tế, cổ văn quân sự Mĩ đến Việt Nam ngày càng nhiều Các trung tâm và các trường huấn luyên của Mĩ bắt đầu tuyển chon, đưa người Việt Nam sang học ở Mĩ II ĐẠI HỘI ĐẠI BIỂU LẦN THỨ II CỦA ĐẢNG (2?1951) Từ ngày 11 đến ngày 19 ? 2 - 1951, Đại hôi đại biểu lần thứ II của Đảng Cộng Sản Đông Dương họp ở xã Vinh Quang (Chiêm Hoa - Tuyên Quang) Đại hội thông qua hai báo cáo quan trọng Bao cáo chính tri, do Chủ tịch Hô Chí Minh trình bày, đã lông kết kinh ng",,,,,
relation,lichsu_12_s53_bai5_sec2_001:3:e4-OCCURRED_AT-e1,OCCURRED_AT,e4,Event,thiết lập quan hệ ngoại giao,e1,Time,Ngày 7 - 1 - 1972,Sự kiện thiết lập quan hệ ngoại giao diễn ra vào ngày 7 - 1 - 1972,"Ngày 7 - 1 - 1972, Ân Độ chính thức thiết lập quan hệ ngoại giao",0.95,lichsu_12_s53_bai5_sec2_001,lichsu_12,Bài 5,CÁC NƯỚC CHÂU PHI VÌ LATINH,"[34, 35]","[""data/corpus/lichsu_12/lichsu_12.pdf_34.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_35.jpg.txt""]","của củng hộ cuộc đấu tranh giành độc lập của các dân tộc. Ngày 7 - 1 - 1972, Ân Độ chính thức thiết lập quan hệ ngoại giao với Việt Nam Cuộc đấu tranh giành độc lập của nhân dân Ấn Độ trong những CÁC NƯỚC CHÂU PHI VÌ LATINH Sau Chiến tranh thế giới thứ hai, phong trào giải phóng dân tộc và bảo về đóc lập của nhân dân châu Phi và Mĩ Latinh bùng nổ, đã giành được thắng lơi to lớn Bản đó chính trị của hai khu vực này có sự thay đối căn bản : một loạt các quốc gia đóc lập ra đời, tỉnh hình kinh tê ?",,,,,
relation,lichsu_10_s207_002:5:e7-OCCURRED_AT-e5,OCCURRED_AT,e7,Event,khởi nghĩa của công nhân dệt thành phố Li-ông,e5,Place,Pháp,Khởi nghĩa của công nhân dệt thành phố Li-ông diễn ra ở Pháp,"Ở Pháp, năm 1831, do bị bóc lột nặng nề và đời sống quá khó khăn, công nhân dệt thành phố Li ông khởi nghĩa",0.95,lichsu_10_s207_002,lichsu_10,Bài,1. Sự ra đời và tình cảnh của giai cấp vô sản công nghiệp,"[183, 184, 185]","[""data/corpus/lichsu_10/lichsu_10.pdf_183.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_184.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_185.jpg.txt""]","nhiều công nhân đã tưởng rằng máy the chi móc là nguồn gốc gây nên nổi khố của họ. Phong trào đập phá máy móc, đốt thuyên chinh công xưởng là hình thức đấu tranh tự phát đầu tiên của giai cấp vô sản. Phong Trong trào này diên ra từ cuối thế kỉ XVIII đến dầu thế ki XIX, trước hết ở Anh rồi lan chiết ra các nước khác Song, việc dập phá máy móc không đem lại kết quả gì ngoài thi thi thi thi Trong sự tăng cường đàn áp của giai cấp thống trị. Qua kinh nghiệm của nhiều lần thất bai bại và sự trưởng th",,,,,
relation,lichsu_11_s123_bai21_sec6_001:6:e9-OCCURRED_AT-e10,OCCURRED_AT,e9,Event,Trận tấn công đồn Nu (Thanh Chương),e10,Place,Đồn Nu (Thanh Chương),Trận tấn công đồn Nu diễn ra tại Thanh Chương,đồn Nu (Thanh Chương),0.95,lichsu_11_s123_bai21_sec6_001,lichsu_11,Bài 21,Vi Diễn Chau,"[128, 129, 132, 133]","[""data/corpus/lichsu_11/lichsu_11.pdf_128.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_129.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_132.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_133.jpg.txt""]","Sơn. Trong thể cùng, ông phảng giác (12 8 1889), sau bi chúng An giê-n Những tướng lĩnh còn lại cố duy trì cuộc khởi nghĩa thêm một thời gian, Đến năm 1892, ho về với nghĩa quân Đề Thám ở Yên Thế Vi Diễn Chau Đồn Nu Thạn Kinh Chương Thành Nghệ An DNQ Hương th Sơn WSghi Xuan Khhinh Hà Tĩnh Q ng Khê z C I SISS ca Căn cứ chính QUẢNG BÌNH của nghĩa quân L Nơi nghĩa quân hoạt động Nghĩa quân Hương Khê được phiên chế thành 15 quân thứ, đặt dưới sự chỉ huy của những tướng lĩnh tài ba. Đại bản doanh cuộ",,,,,
relation,lichsu_12_s133_bai13_sec4_002:10:e10-OCCURRED_AT-e3,OCCURRED_AT,e10,Event,bãi công của công nhân,e3,Time,năm 1929,Các cuộc bãi công của công nhân nổ ra vào năm 1929.,"Năm 1929, bãi công của công nhân nó ra",0.95,lichsu_12_s133_bai13_sec4_002,lichsu_12,Bài 13,SỰ RA ĐỜI VÀ HOẠT ĐỘNG CỦA BA TỔ CHỨC CÁCH MẠNG,"[83, 84, 85]","[""data/corpus/lichsu_12/lichsu_12.pdf_83.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_84.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_85.jpg.txt""]","g dân tộc cho cán bộ O Của Hôi Việt Nam Cách mang Thanh để tuyên truyền đến giai cấp công nhân và các tầng lớp nhân dân Việt Nam 031100000119 Hội đã xây dựng tổ chức cơ sở của mình ở hầu khắp cả nước. Các kì bô Trung Ki, Nam Ki của Hội lần lượt ra đời vào năm 1928, Hội có gần 300 hội viên 1929 Đường Kách mệnh có khoảng 1 700 hội viên và còn xây dựng cơ sở trong Việt kiểu ở Xiêm (Thái Lan) Tại Quảng Châu, ngày 9 - 7 - 1925, Nguyễn Ai Quốc đã cùng một số nhà yêu nước Triều Tiên, Inđônêxia v.v. lập",,,,,
relation,lichsu_11_s124_bai21_sec7_001:3:e3-OCCURRED_AT-e4,OCCURRED_AT,e3,Event,trận phục kích,e4,Time,17 - 10 - 1894,trận phục kích diễn ra vào ngày 17 - 10 - 1894,"Ngay 17 - 10 - 1894, họ giành được tháng loi lớn trong trân phục kích",0.95,lichsu_11_s124_bai21_sec7_001,lichsu_11,Bài 21,"17 - 10 - 1894, họ giành được tháng loi lớn trong trân phục kích đuc đuang","[132, 133]","[""data/corpus/lichsu_11/lichsu_11.pdf_132.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_133.jpg.txt""]","đường tiên quân về tỉnh lị Nghê An, Cao Thắng đã bị trúng dan và hì sinh năm 29 tuổi Đây là một tổn thất lớn của nghĩa quân Trước sức mạnh áp đảo của giác, nghĩa quân vẫn kiên trì chiến đấu, Ngay 17 - 10 - 1894, họ giành được tháng loi lớn trong trân phục kích đuc đuang hàng chục tên giác đã bi tiêu diệt Sau trân đánh này, đôi quân tay sai của Pháp do Nguyễn Thân chỉ huy tiếp tục tổ chức cuộc vây hãm núi Vu Quang. Nghĩa quân bị triết đường tiếp tế, quân số giảm sút nhiều Trong một trân ác chiến,",,,,,
relation,lichsu_12_s285_bai23_sec12_002:5:e5-OCCURRED_AT-e4,OCCURRED_AT,e5,Event,Chiến dịch Tây Nguyên,e4,Time,Ngày 24 - 3 - 1975,Chiến dịch Tây Nguyên kết thúc với việc giải phóng Tây Nguyên vào ngày 24-3-1975,"Đến ngày 24 - 3 - 1975, Tây Nguyên rông lớn với 60 van dân hoàn toàn được giải phóng Chiến dịch Tây Nguyên thắng loi",0.95,lichsu_12_s285_bai23_sec12_002,lichsu_12,Bài 23,2. Cuộc Tổng tiến công và nối dậy Xuân 1975,"[192, 193, 194, 195, 196]","[""data/corpus/lichsu_12/lichsu_12.pdf_192.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_193.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_194.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_195.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_196.jpg.txt""]","h mất tinh thần, hàng nối loan Ngày 14 - 3 - 1975, Nguyên Văn Thiêu ra lênh rút toàn bộ quân khỏi Tây Nguyên về giữ vùng duyên hải miền Trung Trên đường rút chay, chúng bị quân ta truy kích tiêu diệt. Đến ngày 24 - 3 - 1975, Tây Nguyên rông lớn với 60 van dân hoàn toàn được giải phóng Chiến dịch Tây Nguyên thắng loi đã chuyển cuộc kháng chiến chông Mĩ, cứu nước sang giai đoạn mới - từ tiến công chiến lược ở Tây Nguyên phát triển thành tổng tiến công chiến lược trên toàn chiến trường miền Nam Thu",,,,,
relation,lichsu_12_s208_bai18_sec14_001:5:e4-OCCURRED_AT-e7,OCCURRED_AT,e4,Event,chiến dịch Biên giới,e7,Time,Sáng sớm 16 999--91050,Chiến dịch Biên giới bắt đầu vào sáng sớm ngày 16 tháng 9 năm 1950.,"Sáng sớm 16 999--91050, các đơn vị quân đôi ta nổ súng mở đầu chiến dịch",0.9,lichsu_12_s208_bai18_sec14_001,lichsu_12,Bài 18,2. Chiến dịch Biên giới thu - đông năm 1950,"[135, 136, 137, 138]","[""data/corpus/lichsu_12/lichsu_12.pdf_135.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_136.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_137.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_138.jpg.txt""]","lang Đông - Tây"" (Hải Phòng - Hà Nội Hoà Bình - Sơn La), Trên cơ sở đó, Pháp chuẩn bi một kế hoạch quy mô lớn tiền công Việt Bắc lần thứ hai, mong giành tháng lơi để nhanh chóng kết thúc chiến tranh 2. Chiến dịch Biên giới thu - đông năm 1950 Việc Pháp thực hiên kế hoạch Rove đã làm cho vùng tự do của ta bị thu hẹp, căn chi chi cứ địa Viết Bắc bị bao vây, Để khắc phục khó khân, đưa cuốc kháng chiến phát triển lên một bước mới, tháng 6 - 1950, Đảng và Chính phủ quyết định mở chiến dich Biên giới ",,,,,
relation,lichsu_12_s252_bai21_sec18_003:3:e1-OCCURRED_AT-e4,OCCURRED_AT,e1,Event,trận Ấp Bắc,e4,Time,2-1-1963,Trận Ấp Bắc diễn ra vào ngày 2-1-1963,ngày 2 - 1 - 1963,0.95,lichsu_12_s252_bai21_sec18_003,lichsu_12,Bài 21,1. Chiến lược ?Chiến tranh đặc biệt? của Mĩ ở miền Nam,"[165, 166, 167, 168, 169, 170, 171, 172]","[""data/corpus/lichsu_12/lichsu_12.pdf_165.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_166.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_167.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_168.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_169.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_170.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_171.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_172.jpg.txt""]","đội trong trân Ấp Bắc (Mi Tho) ngày 2 - 1 - 1963, đánh bại cuộc hành quân càn quét của hơn 2 000 binh lính quân đội Sài Gòn có cố vấn Mĩ chỉ huy, được pháo binh, máy bay xe tăng, xe bọc thép yểm trợ. Sau trận Ấp Bắc, khấp miền Nam dấy lên phong trào Thi đua Ấp Bắc, giết giác lập công? Phong trào đấu tranh chính trị của các tầng lớp nhân dân trong các đô thi, cả những đô thị lớn như Sài Gòn, Huê, Đà Năng, có những bước phát triển mạnh mẽ, ""nổi bật là cuộc đấu tranh của các tín đô Phật giáo, ""đội ",,,,,
relation,lichsu_11_s61_bai14_sec2_002:3:e5-OCCURRED_AT-e4,OCCURRED_AT,e5,Event,khủng hoảng tài chính,e4,Time,mùa xuân năm 1927,Khủng hoảng tài chính bùng nổ vào mùa xuân năm 1927,mùa xuân năm 1927 chinh cuộc khủng hoàng tài chính lại bùng nổ,0.95,lichsu_11_s61_bai14_sec2_002,lichsu_11,Bài 14,NHẬT BẢN TRONG NĂM 1918 1929,"[74, 75]","[""data/corpus/lichsu_11/lichsu_11.pdf_74.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_75.jpg.txt""]","ổn định (1929) Khác với các nước tư bản Tây Au và Mĩ, sự ổn định của Nhật Bản chỉ tồn tại Trong một thời gian ngàn, Năm 1926, sản lương công nghiệp mới phục hồi trở lại và vượt mức trước chiến tranh. Nhưng chưa đây một năm sau, mùa xuân năm 1927 chinh cuộc khủng hoàng tài chính lại bùng nổ ở Thủ đô Tô-ki-ô làm 30 ngân hàng phá Thi sản, Nền công nghiệp chủ yếu dựa vào xuất khẩu của Nhật Bản ngày càng gấp khó khăn trong việc canh tranh với Mĩ và các nước Tây Au Từ một nước có sức sản xuất và mức x",,,,,
relation,lichsu_12_s48_bai4_sec7_001:9:e11-OCCURRED_AT-e10,OCCURRED_AT,e11,Event,cuộc bãi công của hơn 40 vạn công nhân ở Cancutta,e10,Time,Đầu năm 1947,Cuộc bãi công của hơn 40 vạn công nhân ở Cancutta diễn ra vào đầu năm 1947,như cuộc bãi công của hơn 40 vạn công nhân ở Cancutta (2? 1947),0.95,lichsu_12_s48_bai4_sec7_001,lichsu_12,Bài 4,1. Cuộc đấu tranh giành độc lập,"[30, 31, 32, 33]","[""data/corpus/lichsu_12/lichsu_12.pdf_30.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_31.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_32.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_33.jpg.txt""]","động hợp tác kinh tế, xây dưng Đông Nam Á thành khu vực hoà bình, ổn định, cùng phát triển Tháng 11 - 2007 các nước thành viên đã ki bản Hiến chương ASEAN nhằm xây dựng ASEAN thành một công vững manh 1. Cuộc đấu tranh giành độc lập An Độ là một nước rộng lớn và đông dân thứ hai ở châu Á, với diên tích gần 3,3 triệu km?, dân số 1 tỉ 20 triệu người (2000) Sau Chiến tranh thế giới thứ hai, cuộc đấu tranh chống thực dân Anh, đòi độc lập của nhân dân Ấn Độ dưới sự lãnh đạo của Đảng Quốc đại phát triể",,,,,
relation,lichsu_11_s61_bai14_sec2_001:5:e6-OCCURRED_AT-e1,OCCURRED_AT,e6,Event,"Cuộc ""Bạo động lúa gạo""",e1,Place,Nhật Bản,"Cuộc ""Bạo động lúa gạo"" lan rộng khắp cả nước Nhật Bản.","cuốc ""Bao đông lúa gao"" lan rông kháp cả nước",0.95,lichsu_11_s61_bai14_sec2_001,lichsu_11,Bài 14,NHẬT BẢN TRONG NĂM 1918 1929,"[74, 75]","[""data/corpus/lichsu_11/lichsu_11.pdf_74.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_75.jpg.txt""]","kinh tế (1929 Lan 1933), Để tìm lối thoát ra khỏi khủng hoảng, giới cầm quyền Nhật Bản tiến hành quân phiệt hoá bộ máy nhà nước, biến Nhật Bản thành một lò lửa chiến tranh ở châu Á và trên thế giới. NHẬT BẢN TRONG NĂM 1918 1929 1 Nhật Bản trong những năm dầu sau chiến tranh (1918 1923) Nhiều Nhật Bản là nước thứ hai sau Mĩ thu được nhiều lợi trong Chiến tranh thế giới thứ nhất. Lợi dụng sự suy giảm khả năng kinh tế của các nước tư bản châu Au trong chiến tranh, Nhật Bản đã tăng cường sản xuất hà",,,,,
